uka_id,site_id,name,region,environment_type,latitude,longitude,detail_url,target_pollutants,configured_streams
UKA00488,BLC2,Blackpool Marton,North West,Urban Background,53.80489,-3.007175,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00488,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2009-01-28""}, {""pollutant"": ""PM10"", ""start_date"": ""2005-06-14""}, {""pollutant"": ""NO2"", ""start_date"": ""2005-06-14""}]"
UKA01049,BLWD,Blackpool Whitegate Drive,North West,Urban Traffic,53.810975,-3.033232,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01049,PM2.5,"[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-07""}]"
UKA00598,BURW,Bury Whitefield Roadside,North West,Urban Traffic,53.559029,-2.293772,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00598,"PM10,NO2","[{""pollutant"": ""PM10"", ""start_date"": ""2015-03-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-04-01""}]"
UKA00932,CARM,Carlisle Morton A595,North West,Urban Traffic,54.885823,-2.964955,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00932,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2021-10-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2021-10-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2021-10-01""}]"
UKA00659,COPP,Crewe Coppenhall,North West,Urban Background,53.115941,-2.453492,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00659,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2022-07-06""}, {""pollutant"": ""PM10"", ""start_date"": ""2022-07-06""}, {""pollutant"": ""NO2"", ""start_date"": ""2019-10-15""}]"
UKA00170,GLAZ,Glazebury,North West,Rural Background,53.46008,-2.472056,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00170,,[]
UKA00247,LVP,Liverpool Speke,North West,Urban Industrial,53.34633,-2.844333,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00247,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-09-17""}, {""pollutant"": ""PM10"", ""start_date"": ""2003-05-21""}, {""pollutant"": ""NO2"", ""start_date"": ""2003-05-21""}]"
UKA01095,LVPT,Liverpool Thirlmere Park,North West,Urban Background,53.424225,-2.960989,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01095,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-01-28""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-01-28""}]"
UKA00248,MAN3,Manchester Piccadilly,North West,Urban Background,53.48152,-2.237881,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00248,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2009-01-15""}, {""pollutant"": ""PM10"", ""start_date"": ""1995-12-18""}, {""pollutant"": ""NO2"", ""start_date"": ""1995-12-18""}]"
UKA00617,MAHG,Manchester Sharston,North West,Suburban Industrial,53.371722,-2.238917,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00617,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-08-23""}, {""pollutant"": ""PM10"", ""start_date"": ""2024-08-23""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-01-27""}]"
UKA01051,MIMW,Middlewich St Michael's Way,North West,Urban Traffic,53.194019,-2.447951,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01051,PM2.5,"[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-13""}]"
UKA00408,PRES,Preston,North West,Urban Background,53.76559,-2.680353,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00408,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2009-01-27""}, {""pollutant"": ""PM10"", ""start_date"": ""2000-06-06""}, {""pollutant"": ""NO2"", ""start_date"": ""2000-06-06""}]"
UKA01174,ROCB,Rochdale Belfield,North West,Urban Background,53.621603,-2.146989,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01174,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2026-07-06""}, {""pollutant"": ""PM10"", ""start_date"": ""2026-07-06""}]"
UKA00339,ECCL,Salford Eccles,North West,Urban Background,53.48481,-2.334139,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00339,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-11-26""}, {""pollutant"": ""PM10"", ""start_date"": ""1997-03-20""}, {""pollutant"": ""NO2"", ""start_date"": ""1997-03-20""}]"
UKA00579,CW,Shaw Crompton Way,North West,Urban Traffic,53.579227,-2.093844,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00579,NO2,"[{""pollutant"": ""NO2"", ""start_date"": ""2014-04-01""}]"
UKA00627,SHLW,St Helens Linkway,North West,Urban Traffic,53.451826,-2.742134,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00627,"PM10,NO2","[{""pollutant"": ""PM10"", ""start_date"": ""2017-02-07""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-09-27""}]"
UKA01099,TAMM,Tameside A635 Manchester Road,North West,Urban Traffic,53.482437,-2.113912,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01099,PM2.5,"[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-04-01""}]"
UKA00538,WAR,Warrington,North West,Urban Background,53.389225,-2.615593,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00538,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-11-27""}, {""pollutant"": ""PM10"", ""start_date"": ""2008-11-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2008-10-21""}]"
UKA00603,WSMR,Widnes Milton Road,North West,Urban Traffic,53.365391,-2.73168,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00603,NO2,"[{""pollutant"": ""NO2"", ""start_date"": ""2015-03-09""}]"
UKA00482,WIG5,Wigan Centre,North West,Urban Background,53.54914,-2.638139,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00482,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-11-27""}, {""pollutant"": ""PM10"", ""start_date"": ""2004-10-08""}, {""pollutant"": ""NO2"", ""start_date"": ""2004-10-08""}]"
UKA00406,TRAN,Wirral Tranmere,North West,Urban Background,53.37287,-3.022722,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00406,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2009-01-28""}, {""pollutant"": ""PM10"", ""start_date"": ""2000-05-14""}, {""pollutant"": ""NO2"", ""start_date"": ""2000-05-14""}]"
UKA00353,BAR3,Barnsley Gawber,Yorkshire and the Humber,Urban Background,53.56292,-1.510436,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00353,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2023-04-06""}, {""pollutant"": ""PM10"", ""start_date"": ""2023-04-06""}, {""pollutant"": ""NO2"", ""start_date"": ""1997-07-07""}]"
UKA00611,BDMA,Bradford Mayo Avenue,Yorkshire and the Humber,Urban Traffic,53.771245,-1.759774,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00611,NO2,"[{""pollutant"": ""NO2"", ""start_date"": ""2015-04-24""}]"
UKA01090,BRAS,Bradford Shipley Airedale Road,Yorkshire and the Humber,Urban Traffic,53.795169,-1.743742,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01090,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-12-03""}, {""pollutant"": ""PM10"", ""start_date"": ""2024-12-03""}]"
UKA01161,BRWP,Bradford West Park,Yorkshire and the Humber,Urban Background,53.800617,-1.790806,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01161,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2026-06-11""}, {""pollutant"": ""PM10"", ""start_date"": ""2026-06-11""}]"
UKA00654,DYAG,Dewsbury Ashworth Grange,Yorkshire and the Humber,Urban Background,53.693104,-1.637111,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00654,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2022-06-23""}, {""pollutant"": ""PM10"", ""start_date"": ""2022-06-23""}, {""pollutant"": ""NO2"", ""start_date"": ""2018-04-01""}]"
UKA00612,DCST,Doncaster A630 Cleveland Street,Yorkshire and the Humber,Urban Traffic,53.518383,-1.13806,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00612,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-12-05""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-05-07""}]"
UKA01093,HARW,Harrogate Woodlands,Yorkshire and the Humber,Urban Background,53.993714,-1.511011,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01093,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-01-23""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-01-23""}]"
UKA00169,HM,High Muffles,Yorkshire and the Humber,Rural Background,54.334497,-0.80882,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00169,,[]
UKA00450,HUL2,Hull Freetown,Yorkshire and the Humber,Urban Background,53.74878,-0.341222,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00450,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-08-27""}, {""pollutant"": ""PM10"", ""start_date"": ""2002-11-06""}, {""pollutant"": ""NO2"", ""start_date"": ""2002-11-06""}]"
UKA00600,HULR,Hull Holderness Road,Yorkshire and the Humber,Urban Traffic,53.759013,-0.305678,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00600,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-12""}, {""pollutant"": ""PM10"", ""start_date"": ""2015-01-15""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-01-01""}]"
UKA00647,IMGM,Immingham Woodlands Avenue,Yorkshire and the Humber,Urban Background,53.619241,-0.213324,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00647,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2022-05-16""}, {""pollutant"": ""PM10"", ""start_date"": ""2022-05-16""}, {""pollutant"": ""NO2"", ""start_date"": ""2017-11-01""}]"
UKA00222,LEED,Leeds Centre,Yorkshire and the Humber,Urban Background,53.80378,-1.546472,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00222,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-12-02""}, {""pollutant"": ""PM10"", ""start_date"": ""1993-01-04""}, {""pollutant"": ""NO2"", ""start_date"": ""1993-01-04""}]"
UKA00527,LED6,Leeds Headingley Kerbside,Yorkshire and the Humber,Urban Traffic,53.819972,-1.576361,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00527,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2009-04-02""}, {""pollutant"": ""PM10"", ""start_date"": ""2008-02-17""}, {""pollutant"": ""NO2"", ""start_date"": ""2008-02-17""}]"
UKA01054,ROED,Rotherham East Dene,Yorkshire and the Humber,Urban Background,53.436248,-1.323872,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01054,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-10-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2024-10-01""}]"
UKA00381,SCN2,Scunthorpe Town,Yorkshire and the Humber,Urban Industrial,53.58634,-0.636811,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00381,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-03-18""}, {""pollutant"": ""PM10"", ""start_date"": ""2004-06-06""}, {""pollutant"": ""NO2"", ""start_date"": ""2008-01-10""}]"
UKA00622,SHBR,Sheffield Barnsley Road,Yorkshire and the Humber,Urban Traffic,53.40495,-1.455815,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00622,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2017-10-16""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-08-01""}]"
UKA00575,SHDG,Sheffield Devonshire Green,Yorkshire and the Humber,Urban Background,53.378622,-1.478096,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00575,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2013-10-31""}, {""pollutant"": ""PM10"", ""start_date"": ""2013-10-31""}, {""pollutant"": ""NO2"", ""start_date"": ""2013-10-31""}]"
UKA00181,SHE,Sheffield Tinsley,Yorkshire and the Humber,Urban Background,53.41058,-1.396139,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00181,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2022-05-05""}, {""pollutant"": ""PM10"", ""start_date"": ""2022-05-05""}, {""pollutant"": ""NO2"", ""start_date"": ""1990-11-28""}]"
UKA01107,WAKA,Wakefield Alverthorpe,Yorkshire and the Humber,Urban Background,53.68736,-1.522209,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01107,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-07-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-07-01""}]"
UKA00523,YK10,York Bootham,Yorkshire and the Humber,Urban Background,53.967513,-1.086514,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00523,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-12-03""}, {""pollutant"": ""PM10"", ""start_date"": ""2008-01-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-08-16""}]"
UKA00524,YK11,York Fishergate,Yorkshire and the Humber,Urban Traffic,53.951889,-1.075861,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00524,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2011-08-31""}, {""pollutant"": ""PM10"", ""start_date"": ""2008-01-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2008-01-01""}]"
UKA00604,CHLG,Chesterfield Loundsley Green,East Midlands,Urban Background,53.244131,-1.454946,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00604,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2015-03-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2015-03-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-03-01""}]"
UKA00529,CHS7,Chesterfield Roadside,East Midlands,Urban Traffic,53.231751,-1.456928,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00529,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2009-07-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2008-03-11""}, {""pollutant"": ""NO2"", ""start_date"": ""2008-03-11""}]"
UKA00630,DESA,Derby St Alkmund's Way,East Midlands,Urban Traffic,52.922983,-1.469507,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00630,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-21""}, {""pollutant"": ""NO2"", ""start_date"": ""2017-01-01""}]"
UKA01027,DESB,Derby Stockbrook Park,East Midlands,Urban Background,52.916059,-1.492166,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01027,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2023-11-24""}, {""pollutant"": ""PM10"", ""start_date"": ""2023-11-24""}]"
UKA00171,LB,Ladybower,East Midlands,Rural Background,53.40337,-1.752006,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00171,,[]
UKA00609,LEIR,Leicester A594 Roadside,East Midlands,Urban Traffic,52.638742,-1.124267,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00609,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-26""}, {""pollutant"": ""PM10"", ""start_date"": ""2015-09-07""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-06-01""}]"
UKA00573,LECU,Leicester University,East Midlands,Urban Background,52.619904,-1.127182,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00573,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2013-10-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2020-01-09""}, {""pollutant"": ""NO2"", ""start_date"": ""2013-10-01""}]"
UKA00561,LIN3,Lincoln Canwick Road,East Midlands,Urban Traffic,53.221432,-0.534204,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00561,NO2,"[{""pollutant"": ""NO2"", ""start_date"": ""2011-07-27""}]"
UKA01103,LOTA,Loughborough Thorpe Acre,East Midlands,Urban Background,52.780359,-1.227659,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01103,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-05-12""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-05-12""}]"
UKA01050,MALA,Mansfield Ladybrook,East Midlands,Urban Background,53.145302,-1.208302,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01050,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-10-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2024-10-01""}]"
UKA00632,NTN4,Northampton Spring Park,East Midlands,Urban Background,52.272257,-0.916605,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00632,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2017-04-20""}, {""pollutant"": ""NO2"", ""start_date"": ""2017-04-01""}]"
UKA01092,NOTB,Nottingham Bilborough,East Midlands,Urban Background,52.969102,-1.230107,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01092,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-01-22""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-01-22""}]"
UKA01048,NOTK,Nottingham Kenmore Gardens,East Midlands,Urban Background,52.959441,-1.13865,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01048,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-02-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2024-02-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2024-02-01""}]"
UKA00618,NWBV,Nottingham Western Boulevard,East Midlands,Urban Traffic,52.969377,-1.188851,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00618,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-15""}, {""pollutant"": ""PM10"", ""start_date"": ""2016-03-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-03-01""}]"
UKA01038,TALL,Tallington,East Midlands,Rural Background,52.656308,-0.381,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01038,,[]
UKA01026,TOFT,Toft Newton,East Midlands,Rural Background,53.374133,-0.449788,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01026,,[]
UKA01158,BEDC,Bedworth Collycroft,West Midlands,Urban Background,52.485839,-1.479622,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01158,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2026-05-19""}, {""pollutant"": ""PM10"", ""start_date"": ""2026-05-19""}]"
UKA00626,BIRR,Birmingham A4540 Roadside,West Midlands,Urban Traffic,52.476145,-1.874978,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00626,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2016-09-09""}, {""pollutant"": ""PM10"", ""start_date"": ""2016-09-09""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-09-09""}]"
UKA01062,BIHG,Birmingham Hall Green,West Midlands,Urban Background,52.437553,-1.830956,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01062,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-10-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2024-10-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2024-10-01""}]"
UKA00655,BMLD,Birmingham Ladywood,West Midlands,Urban Background,52.481346,-1.918235,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00655,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2018-08-23""}, {""pollutant"": ""PM10"", ""start_date"": ""2018-08-23""}, {""pollutant"": ""NO2"", ""start_date"": ""2020-01-01""}]"
UKA01108,BAQF,Birmingham University,West Midlands,Urban Background,52.455515,-1.928937,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01108,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-07-09""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-07-09""}]"
UKA00652,BOTR,Burton-on-Trent Horninglow,West Midlands,Urban Background,52.82105,-1.635718,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00652,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2022-07-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2022-07-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2018-02-01""}]"
UKA00623,CANK,Cannock A5190 Roadside,West Midlands,Urban Traffic,52.687298,-1.980821,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00623,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-11""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-08-10""}]"
